"full_name","a","e","i","om","w","q","ad","per_y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H","neo","pha","diameter","sats"
"  8116 Jeanperrin (1996 HA15)",2.25,0.1586,5.43,48.92,320.84,1.893,2.61,3.37,13055,0,8923,,,14.17,N,N,4.773,1
"  8306 Shoko (1995 DY1)",2.241,0.2206,4.78,208.61,143.59,1.747,2.74,3.36,13656,0,3782,,,15.18,N,N,,1
"  8373 Stephengould (1992 AB)",3.28,0.5546,40.79,88.86,55.35,1.461,5.10,5.94,11494,0,3691,,,14.31,N,N,5.748,1
"  8474 Rettig (1985 GA1)",2.224,0.1725,5.91,132.57,141.97,1.840,2.61,3.32,25128,0,4127,,,13.88,N,N,4.197,1
"  9069 Hovland (1993 OV)",1.913,0.1182,19.57,247.87,171.13,1.687,2.14,2.65,11747,0,3331,,,14.43,N,N,,1
"  9260 Edwardolson (1953 TA1)",2.29,0.2295,5.10,214.55,148.47,1.764,2.82,3.46,25682,0,3162,,,14.29,N,N,4.115,1
"  9332 (1990 SB1)",2.581,0.1079,12.65,346.38,211.78,2.303,2.86,4.15,26606,0,3693,,,13.24,N,N,6.176,1
"  9474 Cassadrury (1998 QK15)",2.286,0.1842,5.03,210.60,155.80,1.865,2.71,3.46,15440,0,2689,,,14.39,N,N,3.573,1
"  9617 Grahamchapman (1993 FA5)",2.225,0.1128,6.14,165.51,281.68,1.974,2.48,3.32,26266,0,4903,,,14.97,N,N,2.840,1
"  9783 Tensho-kan (1994 YD1)",2.669,0.1046,1.96,278.61,130.25,2.390,2.95,4.36,17088,0,2626,,,14.13,N,N,5.332,1
"  9972 Minoruoda (1993 KQ)",2.289,0.2001,9.43,97.72,125.40,1.831,2.75,3.46,24079,0,4583,,,14.09,N,N,8.850,1
" 10044 Squyres (1985 RU)",2.564,0.3346,16.44,317.97,32.61,1.706,3.42,4.11,14017,0,2879,,,13.58,N,N,4.613,1
" 10123 Fideoja (1993 FJ16)",2.27,0.2054,4.05,76.79,267.72,1.803,2.74,3.42,16878,0,3714,,,14.50,N,N,3.476,1
" 10132 Lummelunda (1993 FL84)",2.217,0.1643,8.06,182.84,165.20,1.853,2.58,3.3,15268,0,4553,,,14.11,N,N,3.589,1
" 10140 Villon (1993 SX4)",2.42,0.1315,2.62,165.44,20.85,2.102,2.74,3.77,18515,0,4473,,,13.86,N,N,4.785,1
" 10208 Germanicus (1997 QN1)",2.236,0.2009,4.56,223.58,114.99,1.787,2.69,3.34,13101,0,3085,,,14.67,N,N,3.552,1
" 11217 (1999 JC4)",1.944,0.0696,19.30,224.61,69.62,1.809,2.08,2.71,16233,0,2230,,,15.22,N,N,,1
" 11264 Claudiomaccone (1979 UC4)",2.579,0.2317,3.51,10.74,59.20,1.982,3.18,4.14,26603,0,3503,,,14.35,N,N,3.203,1
" 12008 Kandrup (1996 TY9)",1.996,0.3163,29.75,263.29,344.90,1.365,2.63,2.82,26799,0,6176,,,13.31,N,N,,1
" 12218 Fleischer (1982 RK)",2.212,0.1406,4.86,108.19,290.40,1.901,2.52,3.29,15113,0,3659,,,13.62,N,N,4.988,1
" 12326 Shirasaki (1992 SF)",2.264,0.1876,5.83,2.91,17.45,1.839,2.69,3.41,17652,0,2407,,,14.79,N,N,,1
" 13123 Tyson (1994 KA)",2.36,0.2708,23.28,68.77,252.03,1.721,3.00,3.63,25762,0,4060,,,12.68,N,N,10.875,1
" 13920 Montecorvino (1985 PE1)",2.164,0.2373,3.14,308.39,9.66,1.650,2.68,3.18,16113,0,3339,,,14.79,N,N,,1
" 14469 Komatsuataka (1993 RK)",2.582,0.2684,12.30,343.76,12.71,1.889,3.27,4.15,12039,0,2809,,,13.79,N,N,4.021,1
" 15107 Toepperwein (2000 CR49)",2.271,0.1774,4.60,265.96,14.33,1.868,2.67,3.42,11765,0,3032,,,14.68,N,N,2.859,1
" 15268 Wendelinefroger (1990 WF3)",2.366,0.2343,2.75,143.97,210.51,1.812,2.92,3.64,16146,0,2742,,,14.79,N,N,,1
" 15430 (1998 UR31)",2.222,0.1703,8.18,62.74,177.26,1.844,2.60,3.31,24757,0,3205,,,14.42,N,N,3.742,1
" 15700 (1987 QD)",2.209,0.3145,26.79,175.44,119.54,1.514,2.90,3.28,25419,0,2841,,,14.81,N,N,,1
" 15745 Yuliya (1991 PM5)",1.72,0.2550,14.43,132.60,140.66,1.281,2.16,2.26,15145,0,1631,,,17.41,Y,N,,1
" 15822 Genefahnestock (1994 TV15)",1.948,0.0797,22.03,190.83,149.96,1.793,2.10,2.72,25498,0,2800,,,14.67,N,N,1.720,1
" 16525 Shumarinaiko (1991 CU2)",2.4,0.1383,2.42,7.60,181.11,2.068,2.73,3.72,26979,0,4262,,,13.81,N,N,5.253,1
" 16635 (1993 QO)",2.299,0.2851,21.92,313.73,77.98,1.644,2.95,3.49,13422,0,2674,,,14.37,N,N,3.078,1
" 16694 (1995 AJ)",2.237,0.2067,6.42,285.99,39.67,1.775,2.70,3.35,12701,0,4331,,,14.12,N,N,4.055,1
" 16974 Iphthime (1998 WR21)",5.179,0.0700,15.04,241.53,137.47,4.816,5.54,11.8,17278,0,2573,,,9.96,N,N,57.341,1
" 17081 Jaytee (1999 JT1)",2.316,0.2139,6.41,153.77,207.72,1.820,2.81,3.52,13938,0,4556,,,14.25,N,N,4.515,1
" 17246 Christophedumas (2000 GL74)",2.84,0.0231,2.44,34.29,222.17,2.774,2.91,4.79,19252,0,2648,,,14.06,N,N,,1
" 17260 Kusnirak (2000 JQ58)",2.204,0.1842,5.29,199.73,290.80,1.798,2.61,3.27,26939,0,4019,,,14.56,N,N,,1
" 17700 Oleksiygolubov (1997 GM40)",2.32,0.1935,8.49,66.09,55.32,1.871,2.77,3.53,25594,0,3077,,,14.21,N,N,3.446,1
" 18303 (1980 PU)",2.192,0.2059,4.27,222.76,57.13,1.740,2.64,3.24,15884,0,2869,,,14.61,N,N,,1
" 18527 (1996 VJ30)",2.398,0.1440,5.46,243.37,104.50,2.053,2.74,3.71,26465,0,3402,,,14.02,N,N,3.348,1
" 18890 (2000 EV26)",1.917,0.0738,22.98,184.37,265.70,1.775,2.06,2.65,14573,0,2936,,,14.81,N,N,2.144,1
" 19281 (1996 AP3)",2.287,0.1938,6.83,273.28,66.27,1.844,2.73,3.46,12844,0,3868,,,13.74,N,N,4.506,1
" 20325 Julianoey (1998 HO27)",2.379,0.0764,6.10,98.14,256.67,2.198,2.56,3.67,25220,0,4215,,,13.36,N,N,4.942,1
" 20882 Paulsanchez (2000 VH57)",2.363,0.2472,2.38,13.66,358.04,1.779,2.95,3.63,27083,0,2721,,,14.54,N,N,,1
" 21436 Chaoyichi (1998 FL116)",2.186,0.0844,3.73,320.26,178.88,2.002,2.37,3.23,12556,0,2424,,,15.54,N,N,1.953,1
" 21527 Horton (1998 MV27)",2.578,0.1833,12.69,286.38,47.68,2.106,3.05,4.14,26678,0,3559,,,13.46,N,N,4.988,1
" 22899 Alconrad (1999 TO14)",2.847,0.0853,2.88,135.95,220.35,2.604,3.09,4.8,10706,0,3317,,,13.93,N,N,5.682,1
" 23621 (1996 PA)",1.904,0.2991,19.35,143.74,153.41,1.335,2.47,2.63,14739,0,2235,,,15.67,N,N,,1
" 24106 (1999 VA12)",2.32,0.2148,6.36,261.37,92.04,1.822,2.82,3.53,11254,0,2800,,,14.98,N,N,,1
" 24465 (2000 SX155)",1.926,0.0849,21.65,35.49,1.61,1.762,2.09,2.67,14113,0,2571,,,15.11,N,N,,1
" 24495 Degroff (2001 AV1)",2.171,0.3615,29.75,75.29,133.08,1.386,2.96,3.2,25592,0,2652,,,15.07,N,N,,1
" 25015 Lairdclose (1998 QN2)",2.228,0.1982,5.75,265.68,41.38,1.786,2.67,3.33,20267,0,2827,,,14.86,N,N,2.899,1
" 25021 Nischaykumar (1998 QV17)",2.319,0.1006,3.79,188.55,108.84,2.085,2.55,3.53,16927,0,1806,,,15.92,N,N,2.151,1
" 26074 Carlwirtz (1977 TD)",1.811,0.0892,31.61,102.79,73.34,1.650,1.97,2.44,16803,0,2529,,,15.07,N,N,,1
" 26308 (1998 SM165)",48.12,0.3731,13.47,183.00,132.25,30.166,66.07,334,15002,2,372,,,5.78,N,N,,1
" 26416 (1999 XM84)",2.342,0.0514,4.53,263.01,285.18,2.222,2.46,3.58,10716,0,2965,,,14.49,N,N,,1
" 26420 (1999 XL103)",2.198,0.1067,4.72,72.93,261.00,1.963,2.43,3.26,9549,0,2086,,,15.87,N,N,,1
" 26471 Tracybecker (2000 AS152)",1.918,0.1544,19.69,268.68,58.93,1.622,2.21,2.66,10511,0,4002,,,13.43,N,N,4.987,1
" 27568 (2000 PT6)",1.963,0.0277,22.26,174.01,78.21,1.909,2.02,2.75,12064,0,2844,,,14.80,N,N,1.816,1
" 27675 Paulmaley (1981 CH)",2.354,0.1893,24.67,316.16,186.18,1.908,2.80,3.61,15702,0,3323,,,13.62,N,N,5.089,1
" 31345 (1998 PG)",2.016,0.3914,6.50,222.69,156.21,1.227,2.80,2.86,16315,0,1566,,,17.62,Y,N,,1
" 31346 (1998 PB1)",2.03,0.4297,5.96,299.73,350.50,1.157,2.90,2.89,9377,0,637,,,17.24,Y,N,,1
" 31450 Stevepreston (1999 CU9)",2.393,0.2668,10.74,323.89,18.78,1.755,3.03,3.7,20568,0,4262,,,13.21,N,N,10.625,1
" 32008 Adriangalad (2000 HM53)",2.192,0.1928,6.31,221.79,144.25,1.769,2.61,3.25,11726,0,3557,,,14.63,N,N,,1
" 32039 (2000 JO23)",2.224,0.2813,6.50,303.81,353.32,1.598,2.85,3.32,25148,0,2880,,,14.77,N,N,,1
" 34706 (2001 OP83)",2.255,0.3810,8.68,66.42,42.08,1.396,3.11,3.39,22462,0,2319,,,14.95,N,N,,1
" 35107 (1991 VH)",1.137,0.1442,13.91,139.34,206.95,0.973,1.30,1.21,10771,0,4050,3,0,16.91,Y,Y,0.929,1
" 37424 (2001 YA3)",2.562,0.1864,12.70,339.08,62.65,2.085,3.04,4.1,15593,0,2962,,,13.38,N,N,5.928,1
" 38079 (1999 HF)",2.323,0.1935,24.17,182.24,3.23,1.874,2.77,3.54,11092,0,3121,,,14.32,N,N,3.423,1
" 38628 Huya (2000 EB173)",39.28,0.2733,15.47,169.44,68.02,28.542,50.01,246,9939,1,845,,,4.82,N,N,,1
" 42355 Typhon (2002 CR46)",37.52,0.5340,2.43,352.02,158.51,17.485,57.55,230,12227,1,504,,,7.64,N,N,192.000,1
" 43008 (1999 UD31)",2.349,0.1887,1.97,126.23,204.02,1.906,2.79,3.6,9674,0,1646,,,15.84,N,N,,1
" 44620 (1999 RS43)",2.177,0.1636,4.40,181.98,181.13,1.820,2.53,3.21,9144,0,1943,,,15.76,N,N,,1
" 46829 McMahon (1998 OS14)",2.401,0.1803,5.59,334.87,25.81,1.968,2.83,3.72,13059,0,1875,,,15.16,N,N,,1
" 47171 Lempo (1999 TC36)",39.81,0.2321,8.41,97.13,295.25,30.565,49.05,251,18094,1,902,,,4.94,N,N,,2
" 48639 (1995 TL8)",53.05,0.2423,0.24,260.56,85.80,40.192,65.90,386,10304,2,363,,,4.87,N,N,,1
" 50000 Quaoar (2002 LM60)",43.31,0.0395,7.99,189.10,159.90,41.601,45.02,285,25300,0,1042,,,2.42,N,N,,1
" 51356 (2000 RY76)",1.812,0.1115,22.20,331.17,36.29,1.610,2.01,2.44,17495,0,2893,,,15.34,N,N,,1
" 52316 Daveslater (1992 BD)",1.896,0.0651,28.99,79.05,21.45,1.773,2.02,2.61,25921,0,2453,,,15.19,N,N,,1
" 53110 (1999 AR7)",1.644,0.2146,40.62,85.42,58.22,1.292,2.00,2.11,8321,0,1524,,,16.73,Y,N,,1
" 53432 (1999 UT55)",1.872,0.1158,22.44,268.67,126.79,1.655,2.09,2.56,10318,0,1848,,,15.82,N,N,,1
" 54697 (2001 FA70)",2.383,0.3311,13.09,168.44,129.38,1.594,3.17,3.68,9604,0,1950,,,15.08,N,N,,1
" 55637 (2002 UX25)",42.99,0.1440,19.38,204.54,274.78,36.798,49.18,282,11769,0,1430,,,3.84,N,N,,1
" 57027 (2000 UB59)",3.957,0.1339,3.35,285.44,149.80,3.427,4.49,7.87,8858,0,1359,,,13.69,N,N,11.117,1
" 58534 Logos (1997 CQ29)",44.97,0.1200,2.90,132.62,333.55,39.567,50.36,302,8476,3,112,,,6.87,N,N,,1
" 60458 (2000 CM114)",59.02,0.3992,19.72,312.36,251.58,35.461,82.58,453,7318,2,84,,,7.37,N,N,,1
" 60621 (2000 FE8)",54.88,0.3995,5.88,4.03,142.41,32.957,76.80,407,7362,2,166,,,6.88,N,N,,1
" 65489 Ceto (2003 FX128)",99.15,0.8212,22.32,172.14,319.20,17.724,180.58,987,12155,1,278,,,6.47,N,N,,1
" 65803 Didymos (1996 GT)",1.643,0.3833,3.41,72.99,319.58,1.013,2.27,2.11,9923,0,5743,9,0,18.11,Y,Y,0.78,1
" 66063 (1998 RO1)",0.991,0.7200,22.69,351.85,151.16,0.278,1.70,0.987,9064,0,1321,4,0,18.15,Y,N,,1
" 66391 Moshup (1999 KW4)",0.6424,0.6884,38.88,244.90,192.65,0.200,1.08,0.515,9200,0,3861,37,0,16.64,Y,Y,1.317,1
" 66652 Borasisi (1999 RZ253)",44.07,0.0881,0.56,84.83,202.30,40.192,47.95,293,8799,2,331,,,5.86,N,N,,1
" 68063 (2000 YJ66)",2.334,0.4578,5.72,308.84,50.36,1.265,3.40,3.57,12248,0,3270,,,15.57,Y,N,2.301,1
" 69230 Hermes (1937 UB)",1.655,0.6237,6.07,34.06,92.90,0.623,2.69,2.13,31285,0,2628,3,3,17.68,Y,Y,,1
" 69406 Martz-Kohl (1995 SX48)",1.844,0.0225,21.99,299.28,309.31,1.803,1.89,2.5,10351,0,3238,,,14.64,N,N,3.182,1
" 72036 (2000 XM44)",2.324,0.2769,22.60,32.40,108.17,1.681,2.97,3.54,25011,0,2206,,,14.55,N,N,2.697,1
" 76818 Brianenke (2000 RG79)",1.93,0.0956,18.13,292.29,129.68,1.745,2.11,2.68,15919,0,3140,,,13.82,N,N,,1
" 79360 Sila-Nunam (1997 CS29)",43.75,0.0076,2.25,304.35,220.08,43.412,44.08,289,9847,2,546,,,5.28,N,N,,1
" 79472 Chiorny (1998 AX4)",1.962,0.0799,24.34,93.29,331.62,1.805,2.12,2.75,11020,0,2603,,,14.95,N,N,,1
" 80218 (1999 VO123)",2.218,0.0276,1.80,114.30,186.92,2.157,2.28,3.3,11625,0,781,,,16.80,N,N,,1
" 80806 (2000 CM105)",42.01,0.0699,3.76,45.49,3.12,39.073,44.95,272,8441,3,125,,,6.69,N,N,,1
" 82075 (2000 YW134)",57.76,0.2906,19.82,126.96,315.34,40.975,74.54,439,8425,2,428,,,4.66,N,N,,1
" 82157 (2001 FM185)",38.36,0.0570,5.38,150.84,119.21,36.173,40.55,238,7348,2,149,,,7.04,N,N,,1
" 85628 (1998 KV2)",1.593,0.3315,13.03,66.74,50.56,1.065,2.12,2.01,9430,0,6484,,,17.30,Y,N,0.775,1
" 85938 (1999 DJ4)",1.853,0.4844,9.14,19.88,197.76,0.955,2.75,2.52,9063,0,640,1,0,18.72,Y,Y,,1
" 88611 Teharonhiawako (2001 QT297)",44.32,0.0205,2.58,304.71,237.10,43.416,45.23,295,7356,2,195,,,5.98,N,N,,1
" 88710 (2001 SL9)",1.062,0.2701,21.90,202.83,329.36,0.775,1.35,1.09,25198,0,1221,,,17.67,Y,N,0.760,1
" 90482 Orcus (2004 DW)",39.15,0.2277,20.56,268.48,73.66,30.234,48.06,245,26382,1,1741,,,2.17,N,N,,1
" 97034 (1999 UK7)",1.853,0.2680,24.19,336.88,202.39,1.356,2.35,2.52,8755,0,3260,,,14.88,N,N,,1
" 99913 (1997 CZ5)",2.292,0.3985,24.96,287.94,169.51,1.378,3.20,3.47,11450,0,2616,,,13.48,N,N,,1
"100015 (1989 SR7)",2.364,0.2999,4.39,269.27,88.77,1.655,3.07,3.64,12173,0,1379,,,15.92,N,N,,1
"114319 (2002 XD58)",2.256,0.2748,6.84,242.47,92.62,1.636,2.88,3.39,12942,0,1798,,,15.75,N,N,1.728,1
"118303 (1998 UG)",2.265,0.2295,21.79,304.62,119.05,1.745,2.78,3.41,9219,0,2243,,,13.93,N,N,4.280,1
"119067 (2001 KP76)",43.54,0.1917,7.22,42.94,304.52,35.190,51.88,287,2176,4,24,,,6.33,N,N,,1
"119979 (2002 WC19)",48.02,0.2617,9.18,109.72,43.49,35.451,60.58,333,6523,2,205,,,4.67,N,N,,1
"120347 Salacia (2004 SB60)",42.33,0.1006,23.93,280.15,312.35,38.074,46.59,275,15128,1,630,,,4.22,N,N,,1
"123509 (2000 WK183)",44.56,0.0473,1.97,185.47,286.93,42.452,46.67,297,7675,3,80,,,6.51,N,N,,1
"134340 Pluto (1930 BM)",39.59,0.2518,17.15,110.29,113.71,29.619,49.56,249,31524,,7212,,,-0.45,N,N,,5
"134860 (2000 OJ67)",43.14,0.0184,1.11,96.80,169.35,42.350,43.94,283,7680,2,195,,,6.32,N,N,,1
"136108 Haumea (2003 EL61)",42.89,0.1999,28.21,121.97,240.70,34.316,51.47,281,25152,1,4948,,,0.20,N,N,,2
"136199 Eris (2003 UB313)",68.15,0.4323,43.74,36.08,150.87,38.689,97.62,563,25352,3,3120,,,-1.23,N,N,,1
"136472 Makemake (2005 FY9)",45.29,0.1658,29.03,79.31,296.16,37.779,52.79,305,25204,1,4753,,,-0.21,N,N,,1
"136617 (1994 CC)",1.638,0.4168,4.68,268.52,24.89,0.955,2.32,2.1,12520,0,718,13,14,17.97,Y,Y,,2
"136993 (1998 ST49)",2.308,0.5956,24.49,18.21,48.05,0.933,3.68,3.51,7882,0,1021,5,2,17.85,Y,N,,1
"137170 (1999 HF1)",0.8192,0.4625,25.66,155.86,253.41,0.440,1.20,0.741,8807,0,6856,1,0,14.67,Y,N,,1
"138095 (2000 DK79)",1.776,0.4146,60.69,43.46,2.55,1.040,2.51,2.37,13856,0,796,3,1,15.98,Y,Y,,1
"139775 (2001 QG298)",39.75,0.2005,6.48,162.44,210.12,31.781,47.72,251,8146,2,398,,,6.91,N,N,,1
"143649 (2003 QQ47)",1.085,0.1870,62.10,0.99,104.96,0.882,1.29,1.13,7198,0,1244,0,1,17.39,Y,Y,,1
"148780 Altjira (2001 UQ18)",44.49,0.0603,5.19,1.68,305.09,41.806,47.17,297,7709,4,83,,,5.77,N,N,,1
"153591 (2001 SN263)",1.987,0.4800,6.69,325.74,173.06,1.033,2.94,2.8,12045,0,3637,3,0,17.11,Y,Y,2,2
"153958 (2002 AM31)",1.703,0.4515,4.64,144.37,197.97,0.934,2.47,2.22,14910,0,810,7,1,18.36,Y,Y,,1
"160091 (2000 OL67)",45.46,0.1091,1.98,322.62,317.22,40.496,50.42,306,7359,4,58,,,6.96,N,N,,1
"160256 (2002 PD149)",43.31,0.0578,4.91,103.58,31.80,40.804,45.81,285,6649,3,53,,,6.63,N,N,,1
"162000 (1990 OS)",1.678,0.4627,1.09,346.52,21.58,0.902,2.45,2.17,12258,0,426,5,4,19.64,Y,Y,0.4,1
"162483 (2000 PJ5)",0.8727,0.3736,51.18,124.41,7.65,0.547,1.20,0.815,8412,0,874,,,17.53,Y,N,0.906,1
"163693 Atira (2003 CP20)",0.741,0.3221,25.62,103.88,252.93,0.502,0.98,0.638,7693,0,901,2,0,16.39,Y,N,,1
"164121 (2003 YT1)",1.11,0.2919,44.06,38.32,91.04,0.786,1.43,1.17,15092,0,1863,10,1,16.22,Y,Y,1.717,1
"174567 Varda (2003 MW12)",45.69,0.1455,21.52,184.28,183.61,39.043,52.34,309,15439,1,744,,,3.47,N,N,,1
"175706 (1996 FG3)",1.055,0.3501,1.97,299.52,24.07,0.686,1.42,1.08,13954,0,2658,6,1,18.32,Y,Y,1.196,1
"182933 (2002 GZ31)",50.27,0.2388,1.05,117.26,165.31,38.264,62.28,356,2254,4,68,,,6.46,N,N,,1
"185851 (2000 DP107)",1.365,0.3765,8.67,358.66,289.79,0.851,1.88,1.59,8781,0,1493,21,2,18.32,Y,Y,0.863,1
"190166 (2005 UP156)",2.116,0.4694,4.21,193.35,91.24,1.123,3.11,3.08,7720,0,2806,2,0,17.27,Y,N,1.045,1
"190208 (2006 AQ)",2.053,0.4864,4.09,325.74,105.45,1.054,3.05,2.94,6609,0,1586,,,18.20,Y,N,,1
"208996 (2003 AZ84)",39.41,0.1776,13.55,251.90,16.05,32.414,46.41,247,10167,1,999,,,3.75,N,N,,1
"218144 (2002 RL66)",2.306,0.3416,22.73,23.94,74.80,1.518,3.09,3.5,7816,0,1391,,,15.16,N,N,,1
"225088 Gonggong (2007 OR10)",67.19,0.4985,30.68,336.85,207.09,33.696,100.69,551,13929,3,522,,,1.85,N,N,,1
"226514 (2003 UX34)",1.095,0.6160,2.56,4.32,218.55,0.421,1.77,1.15,8461,0,303,1,1,20.20,Y,Y,,1
"229762 G!kun||'homdima (2007 UK126)",74.19,0.4928,23.37,131.13,345.80,37.632,110.75,639,15137,1,695,,,3.47,N,N,,1
"250162 (2002 TY57)",1.922,0.3274,3.46,118.94,259.98,1.292,2.55,2.66,7147,0,717,,,19.64,Y,N,,1
"275809 (2001 QY297)",44.09,0.0800,1.55,108.75,129.82,40.565,47.62,293,8062,2,325,,,5.71,N,N,,1
"276049 (2002 CE26)",2.233,0.5611,47.29,161.89,228.04,0.980,3.49,3.34,7427,0,1754,7,0,16.67,Y,N,3.5,1
"285263 (1998 QE2)",2.421,0.5726,12.88,250.07,345.68,1.035,3.81,3.77,9251,0,1913,4,0,17.28,Y,Y,,1
"300163 (2006 VW139)",3.048,0.2004,3.24,83.12,280.23,2.438,3.66,5.32,8204,0,359,,,16.21,N,N,,1
"303712 (2005 PR21)",44.51,0.1055,1.34,339.11,314.85,39.813,49.20,297,5852,2,260,,,6.34,N,N,,1
"310560 (2001 QL142)",1.049,0.4991,26.61,165.57,72.13,0.526,1.57,1.08,16496,0,367,0,1,17.80,Y,Y,0.654,1
"311066 (2004 DC)",1.634,0.3995,19.45,74.92,156.26,0.981,2.29,2.09,7214,0,330,7,1,18.29,Y,Y,,1
"326732 (2003 HB6)",2.711,0.5706,6.62,161.61,145.86,1.164,4.26,4.46,6834,0,5852,1,0,17.64,Y,N,,1
"341520 Mors-Somnus (2007 TY430)",39.61,0.2717,11.26,196.61,205.52,28.848,50.37,249,5929,2,310,,,6.80,N,N,,1
"348400 (2005 JF21)",2.225,0.5355,10.85,132.20,206.14,1.034,3.42,3.32,7359,0,1234,1,0,17.35,Y,Y,,1
"350751 (2002 AW)",1.072,0.2567,0.57,161.80,119.38,0.797,1.35,1.11,8035,0,698,,,20.82,Y,Y,,1
"357439 (2004 BL86)",1.502,0.4025,23.78,126.66,311.51,0.898,2.11,1.84,6359,0,1068,9,4,19.29,Y,Y,,1
"363027 (1998 ST27)",0.8194,0.5299,21.06,197.53,322.49,0.385,1.25,0.742,8422,0,593,6,1,19.64,Y,Y,0.578,1
"363067 (2000 CO101)",1.076,0.0901,15.32,353.04,64.93,0.979,1.17,1.12,7383,0,1146,6,0,19.21,Y,Y,,1
"363599 (2004 FG11)",1.587,0.7236,3.13,83.59,228.67,0.439,2.74,2,7293,0,415,4,4,21.04,Y,Y,0.152,1
"364171 (2006 JZ81)",44.46,0.0754,3.56,36.45,182.02,41.109,47.82,296,5902,2,90,,,6.89,N,N,,1
"374851 (2006 VV2)",2.386,0.6054,23.73,9.81,145.07,0.942,3.83,3.69,6980,0,1548,1,0,16.72,Y,Y,,1
"385186 (1994 AW1)",1.105,0.0755,24.10,290.34,37.16,1.022,1.19,1.16,13568,0,2886,4,0,17.64,Y,Y,0.811,1
"385446 Manwe (2003 QW111)",44.08,0.1158,2.66,68.61,16.27,38.978,49.19,293,6593,4,60,,,6.57,N,N,,1
"399307 (1991 RJ2)",2.21,0.4272,8.95,171.77,150.99,1.266,3.15,3.29,10424,0,217,,,18.90,Y,N,,1
"399774 (2005 NB7)",2.043,0.5179,12.71,199.16,348.17,0.985,3.10,2.92,7916,0,928,1,1,18.80,Y,Y,,1
"410777 (2009 FD)",1.164,0.4929,3.13,9.27,281.56,0.590,1.74,1.26,5499,0,513,5,3,22.17,Y,N,0.472,1
"450894 (2008 BT18)",2.22,0.5942,8.14,107.53,139.37,0.901,3.54,3.31,24049,0,435,2,1,18.17,Y,Y,,1
"452561 (2005 AB)",3.22,0.6545,8.15,126.22,63.72,1.113,5.33,5.78,6298,0,1796,0,1,17.58,Y,N,,1
"461852 (2006 GY2)",1.858,0.4959,30.56,54.29,216.72,0.936,2.78,2.53,3721,0,308,6,3,18.90,Y,Y,,1
"469420 (2001 XP254)",42.12,0.2163,2.61,304.91,180.42,33.007,51.23,273,7387,2,145,,,7.78,N,N,,1
"469505 (2003 FE128)",47.68,0.2478,3.39,169.36,53.85,35.862,59.49,329,7329,2,110,,,6.33,N,N,,1
"469514 (2003 QA91)",44.73,0.0720,2.41,104.70,325.44,41.506,47.95,299,7330,2,247,,,5.86,N,N,,1
"469610 (2004 HF79)",43.12,0.0255,1.49,76.63,203.57,42.023,44.23,283,4430,3,52,,,6.44,N,N,,1
"469705 |=Kagara (2005 EF298)",43.77,0.0847,2.87,118.03,76.45,40.060,47.48,290,6888,2,229,,,6.17,N,N,,1
"471165 (2010 HE79)",38.8,0.1781,15.76,238.75,281.03,31.891,45.71,242,11354,2,410,,,5.28,N,N,,1
"481532 (2007 LE)",1.839,0.5160,29.54,73.65,120.22,0.890,2.79,2.49,7499,0,486,5,1,19.62,Y,Y,,1
"488453 (1994 XD)",2.344,0.7339,4.33,96.02,249.55,0.624,4.06,3.59,10641,0,658,11,5,19.24,Y,Y,,1
"489486 (2007 GS3)",1.061,0.1291,15.09,215.39,61.06,0.924,1.20,1.09,5021,0,623,,,19.40,Y,Y,,1
"494658 (2000 UG11)",1.929,0.5716,8.91,223.92,240.86,0.826,3.03,2.68,6049,0,433,3,1,20.71,Y,Y,,1
"505447 (2013 SQ99)",44.49,0.0856,3.46,52.09,177.65,40.685,48.30,297,4398,4,97,,,6.49,N,N,,1
"505476 (2013 UL15)",46.21,0.1010,2.02,82.00,239.73,41.537,50.87,314,2607,3,71,,,6.76,N,N,,1
"506121 (2016 BP81)",44.06,0.0775,4.17,29.01,279.60,40.645,47.47,292,6178,3,391,,,6.06,N,N,,1
"508788 (2000 CQ114)",45.85,0.1163,2.70,38.28,29.64,40.519,51.18,310,7317,4,55,,,6.66,N,N,,1
"508869 (2002 VT130)",42.64,0.0324,1.16,334.48,354.05,41.256,44.02,278,7354,3,82,,,5.85,N,N,,1
"511551 (2014 UD225)",43.71,0.1269,3.66,343.30,298.39,38.162,49.26,289,7334,3,70,,,6.87,N,N,,1
"523624 (2008 CT190)",52.39,0.3385,38.86,103.63,47.16,34.656,70.12,379,7793,2,140,,,5.70,N,N,,1
"523625 (2008 DG17)",1.837,0.4503,41.10,324.36,215.10,1.010,2.66,2.49,5470,0,295,1,0,19.63,Y,N,,1
"523756 (2014 WD509)",44.1,0.0540,1.33,201.34,252.21,41.722,46.48,293,4805,2,172,,,6.00,N,N,,1
"523775 (2014 YB35)",1.876,0.4840,12.65,3.73,188.63,0.968,2.78,2.57,3157,0,745,1,2,19.11,Y,Y,0.279,1
"523983 (1999 RY214)",45.58,0.1865,13.68,327.24,70.81,37.079,54.08,308,7715,3,36,,,7.36,N,N,,1
"524217 (2001 RZ143)",44.44,0.0714,2.12,8.22,32.44,41.263,47.61,296,7028,2,123,,,6.69,N,N,,1
"524366 (2001 XR254)",42.94,0.0308,1.24,179.68,80.69,41.614,44.26,281,8087,2,136,,,5.75,N,N,,1
