"full_name","a","e","i","om","w","q","ad","per_y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H","neo","pha","diameter","sats"
"   762 Pulcova (A913 RD)",3.155,0.1071,13.10,305.53,188.66,2.817,3.49,5.6,39260,0,10366,,,8.48,N,N,147.343,1
"   809 Lundia (A915 PF)",2.282,0.1926,7.15,154.50,196.30,1.843,2.72,3.45,39620,0,5440,,,12.15,N,N,9.450,1
"   854 Frostia (A916 GO)",2.37,0.1740,6.09,190.56,84.58,1.958,2.78,3.65,29789,0,5988,,,12.06,N,N,7.839,1
"   939 Isberga (A920 TD)",2.247,0.1765,2.58,327.05,6.16,1.851,2.64,3.37,37737,0,7546,,,12.10,N,N,10.390,1
"  1016 Anitra (A924 CG)",2.22,0.1274,6.04,8.82,53.13,1.937,2.50,3.31,36522,0,4377,,,11.91,N,N,9.539,1
"  1052 Belgica (1925 VD)",2.236,0.1433,4.70,99.55,297.63,1.916,2.56,3.34,42122,0,4588,,,11.92,N,N,9.785,1
"  1089 Tama (1927 WB)",2.214,0.1274,3.73,71.45,354.32,1.932,2.50,3.29,47207,0,4886,,,11.67,N,N,13.082,1
"  1139 Atami (1929 XE)",1.948,0.2555,13.09,213.30,206.73,1.450,2.45,2.72,34238,0,3817,,,12.59,N,N,,1
"  1313 Berna (1933 QG)",2.656,0.2066,12.56,298.09,100.27,2.108,3.21,4.33,32918,0,9584,,,11.72,N,N,13.504,1
"  1338 Duponta (1934 XA)",2.264,0.1121,4.81,325.50,110.42,2.010,2.52,3.41,32565,0,7673,,,12.83,N,N,7.470,1
"  1453 Fennia (1938 ED1)",1.897,0.0284,23.67,7.05,255.31,1.843,1.95,2.61,31344,0,3847,,,12.50,N,N,6.573,1
"  1480 Aunus (1938 DK)",2.202,0.1089,4.86,63.58,65.62,1.963,2.44,3.27,30178,0,6154,,,13.25,N,N,6.385,1
"  1509 Esclangona (1938 YG)",1.866,0.0324,22.32,283.48,268.12,1.806,1.93,2.55,30820,0,6592,,,12.75,N,N,8.17,1
"  1526 Mikkeli (1939 TF)",2.315,0.1874,6.21,336.86,72.98,1.881,2.75,3.52,25623,0,4132,,,13.24,N,N,5.318,1
"  1626 Sadeya (1927 AA)",2.363,0.2737,25.32,279.46,149.30,1.717,3.01,3.63,35299,0,4047,,,11.14,N,N,15.140,1
"  1717 Arlon (1954 AC)",2.196,0.1290,6.19,340.42,116.44,1.912,2.48,3.25,33899,0,10286,,,12.45,N,N,8.484,1
"  1727 Mette (1965 BA)",1.854,0.1016,22.89,132.99,313.12,1.666,2.04,2.52,24962,0,4674,,,12.61,N,N,,1
"  1770 Schlesinger (1967 JR)",2.457,0.0598,5.29,21.88,38.70,2.310,2.60,3.85,34010,0,9119,,,12.24,N,N,10.614,1
"  1798 Watts (1949 GC)",2.199,0.1221,6.19,44.23,3.96,1.930,2.47,3.26,32583,0,4978,,,13.04,N,N,6.631,1
"  1803 Zwicky (1967 CA)",2.35,0.2487,21.52,337.15,254.27,1.765,2.93,3.6,33950,0,5511,,,12.25,N,N,9.934,1
"  1830 Pogson (1968 HA)",2.188,0.0563,3.96,147.43,336.16,2.065,2.31,3.24,35566,0,9662,,,12.71,N,N,7.710,1
"  1862 Apollo (1932 HA)",1.471,0.5599,6.35,35.56,286.05,0.647,2.29,1.78,34041,0,3461,8,9,16.08,Y,Y,1.5,1
"  1866 Sisyphus (1972 XA)",1.894,0.5382,41.21,63.46,293.11,0.875,2.91,2.61,25252,0,8278,0,1,12.54,Y,N,8.48,1
"  1990 Pilcher (1956 EE)",2.174,0.0519,3.13,193.57,12.67,2.061,2.29,3.21,31449,0,4928,,,12.90,N,N,6.754,1
"  2006 Polonskaya (1973 SB3)",2.325,0.1930,4.91,0.87,24.73,1.876,2.77,3.54,26952,0,3932,,,13.14,N,N,4.625,1
"  2019 van Albada (1935 SX1)",2.241,0.1659,4.05,252.10,25.08,1.869,2.61,3.36,33873,0,4852,,,12.49,N,N,7.865,1
