"neo","pha","sats","H","diameter","e","a","q","i","om","w","ad","per_y","data_arc","n_obs_used","condition_code"
N,N,1,13.79,,0.1523,2.159,1.830,5.39,331.27,51.60,2.49,3.17,32996,4561,0
N,N,1,13.38,8.105,0.1782,2.302,1.892,8.01,299.71,52.34,2.71,3.49,25452,3722,0
N,N,1,13.73,4.954,0.1926,2.166,1.749,4.11,45.14,281.69,2.58,3.19,19832,5873,0
N,N,1,14.57,,0.1430,2.294,1.966,5.99,35.47,351.69,2.62,3.47,25292,4957,0
N,N,1,14.00,3.739,0.0771,1.937,1.787,26.29,76.82,265.82,2.09,2.7,12811,7176,0
N,N,1,14.79,3.139,0.1272,2.17,1.894,1.80,129.36,81.02,2.45,3.2,22947,3361,0
N,N,1,13.29,8.074,0.1810,2.445,2.003,12.07,115.79,193.37,2.89,3.82,16237,5099,0
N,N,1,13.45,5.287,0.1401,2.258,1.942,7.05,18.10,242.52,2.57,3.39,19104,7690,0
N,N,1,14.91,,0.3327,2.356,1.572,4.58,193.19,144.07,3.14,3.62,19171,2447,0
Y,N,1,16.84,1.298,0.3900,1.981,1.209,8.30,102.61,354.77,2.75,2.79,15468,1423,0
N,N,1,13.93,9.015,0.2114,2.308,1.820,5.49,321.11,245.68,2.80,3.51,25113,5312,0
N,N,1,14.08,5.421,0.0864,1.938,1.770,21.79,315.29,86.39,2.11,2.7,14043,4724,0
N,N,1,13.29,6.680,0.2037,2.341,1.864,6.86,275.65,204.24,2.82,3.58,22987,4640,0
N,N,1,12.67,,0.0854,2.743,2.508,6.99,42.97,119.75,2.98,4.54,16527,6306,0
Y,Y,1,17.70,1.8,0.4846,1.772,0.913,15.17,61.28,232.29,2.63,2.36,12735,2603,0
N,N,1,13.14,6.251,0.1115,2.59,2.301,14.30,174.97,18.82,2.88,4.17,14011,3972,0
N,N,1,13.34,4.911,0.3193,2.371,1.614,21.80,278.21,113.19,3.13,3.65,17696,3186,0
N,N,1,13.54,5.473,0.1995,2.241,1.794,6.73,23.48,331.98,2.69,3.36,14748,8896,0
N,N,1,14.07,3.910,0.2112,2.407,1.899,3.56,106.09,235.09,2.92,3.73,15465,3560,0
N,N,1,13.11,7.447,0.1485,2.298,1.956,7.20,61.38,143.66,2.64,3.48,17413,4042,0
Y,N,1,15.19,2.298,0.6631,2.437,0.821,26.08,165.90,323.02,4.05,3.81,12427,1430,0
Y,N,1,15.33,1.680,0.3462,1.262,0.825,36.91,111.26,349.18,1.70,1.42,16475,5075,0
N,N,1,14.49,2.941,0.0771,1.877,1.733,21.97,195.70,154.18,2.02,2.57,13783,4642,0
N,N,1,14.99,1.690,0.0748,1.925,1.781,19.94,217.67,145.93,2.07,2.67,12357,2748,0
N,N,1,12.97,,0.2127,2.634,2.073,17.20,135.50,36.25,3.19,4.27,25347,4270,0
N,N,1,14.17,4.773,0.1586,2.25,1.893,5.43,48.92,320.84,2.61,3.37,13055,8923,0
N,N,1,15.18,,0.2206,2.241,1.747,4.78,208.61,143.59,2.74,3.36,13656,3782,0
N,N,1,14.31,5.748,0.5546,3.28,1.461,40.79,88.86,55.35,5.10,5.94,11494,3691,0
N,N,1,13.88,4.197,0.1725,2.224,1.840,5.91,132.57,141.97,2.61,3.32,25128,4127,0
N,N,1,14.43,,0.1182,1.913,1.687,19.57,247.87,171.13,2.14,2.65,11747,3331,0
N,N,1,14.29,4.115,0.2295,2.29,1.764,5.10,214.55,148.47,2.82,3.46,25682,3162,0
N,N,1,13.24,6.176,0.1079,2.581,2.303,12.65,346.38,211.78,2.86,4.15,26606,3693,0
N,N,1,14.39,3.573,0.1842,2.286,1.865,5.03,210.60,155.80,2.71,3.46,15440,2689,0
N,N,1,14.97,2.840,0.1128,2.225,1.974,6.14,165.51,281.68,2.48,3.32,26266,4903,0
N,N,1,14.13,5.332,0.1046,2.669,2.390,1.96,278.61,130.25,2.95,4.36,17088,2626,0
N,N,1,14.09,8.850,0.2001,2.289,1.831,9.43,97.72,125.40,2.75,3.46,24079,4583,0
N,N,1,13.58,4.613,0.3346,2.564,1.706,16.44,317.97,32.61,3.42,4.11,14017,2879,0
N,N,1,14.50,3.476,0.2054,2.27,1.803,4.05,76.79,267.72,2.74,3.42,16878,3714,0
N,N,1,14.11,3.589,0.1643,2.217,1.853,8.06,182.84,165.20,2.58,3.3,15268,4553,0
N,N,1,13.86,4.785,0.1315,2.42,2.102,2.62,165.44,20.85,2.74,3.77,18515,4473,0
N,N,1,14.67,3.552,0.2009,2.236,1.787,4.56,223.58,114.99,2.69,3.34,13101,3085,0
N,N,1,15.22,,0.0696,1.944,1.809,19.30,224.61,69.62,2.08,2.71,16233,2230,0
